index,tag,folder,category,result,reason
539,elf,people,fantasy_person,确认,核心对象是年轻纤细且有尖耳的奇幻人形种族
540,gem,nature,mineral,确认,核心对象是经打磨且常用于珠宝的珍贵石头
541,obi,traditional_clothes,traditional_japan,确认,核心对象是搭配和服的宽长刺绣腰带
542,final_fantasy,copyright,letter_f,确认,Wiki 明确描述最终幻想游戏系列
543,shirt_lift,action,clothing_action,确认,核心含义是掀起上衣展示身体或内衣的动作
544,6+girls,people,count_gender,确认,核心含义是画面中有六位或更多女性角色
545,x_hair_ornament,head_accessories,themed_hair_ornament,确认,核心对象是 X 形发饰
546,yaoi,relationships,romance_orientation,确认,核心含义是男性角色之间的浪漫或性关系
547,frilled_skirt,clothes_main,skirt,确认,核心对象是带荷叶边的半身裙
548,bound,sensitive,restraint,确认,核心含义是无论是否涉及性行为都处于被捆绑或限制状态
549,hololive_english,copyright,letter_h,确认,Wiki 明确描述 hololive 的英语分支
550,red_flower,nature,flower_general,确认,Wiki 只限定红色花朵而未限定具体品种
551,blue_ribbon,accessories,bows_ribbons,确认,Wiki 只限定蓝色丝带而未限定佩戴部位
552,magical_girl,people,role_focus,确认,核心对象是被选中以魔法能力对抗邪恶的少女角色类型
553,trembling,body_detail,body_state,确认,核心含义是因寒冷恐惧或兴奋发生的身体颤抖
554,clothes_pull,action,clothing_action,确认,核心含义是拉下衣物展示胸部或胯部的动作
555,red_bowtie,accessories,neckwear,确认,核心对象是红色领结
556,scrunchie,head_accessories,hairtie_ring,确认,核心对象是织物包覆的弹性发圈且主要用于束发
557,light_smile,expression,positive,确认,核心含义是温和轻微的微笑
558,red_shirt,clothes_main,shirt_top,确认,核心对象是红色衬衫
559,crossed_legs,pose,leg_pose,确认,核心含义是坐站或躺时双腿交叉的姿势
560,headgear,head_accessories,headpiece,确认,Wiki 是不属于帽子或发饰的特殊头部配饰
561,fire,light_effect,fire_smoke,确认,核心对象是燃料燃烧产生的光热与火焰
562,feathers,animal_traits,wing_feather,确认,核心对象是鸟类身体与翅膀上的羽毛
563,moon,outdoor_scene,sky_space,确认,核心对象是围绕行星运行的月球类天体
564,ear_piercing,jewelry_accessories,piercing,确认,核心对象是耳垂以外部位的耳部穿孔
565,holding_cup,action,holding,确认,核心含义是手持任意杯子的动作
566,sunlight,light_effect,lighting,确认,核心对象是太阳发出的自然光线
567,wavy_mouth,face,mouth,确认,核心含义是嘴部轮廓呈波浪形
568,cloudy_sky,outdoor_scene,sky_space,确认,核心对象是云量覆盖至少一半的天空
569,3boys,people,count_gender,确认,核心含义是画面中有三位男性角色
570,suit,outerwear_suits,formal_suit,确认,核心对象是由配套面料衣物组成的正式西式套装
571,spiked_hair,hair,hair_style,确认,核心含义是头发形成多个尖刺的发型
572,eyepatch,head_accessories,face_mask,确认,核心对象是通常只覆盖一只眼睛的防护或遮盖布片
573,cross,symbols,religious_symbol,确认,核心对象是两条线垂直相交且可代表基督受难的符号
574,mouth_hold,action,holding,确认,核心含义是用嘴叼住物品
575,denim,clothing_appearance,clothing_material,确认,核心对象是坚固且呈斜纹的棉质或混纺面料
576,black_leotard,underwear_swim,bodysuit_leotard,确认,核心对象是黑色紧身连体衣
577,eyes_visible_through_hair,style,technique,确认,核心含义是让本应被头发遮住的眼睛仍可见的绘画技法
578,plant,nature,plant_general,修正,Wiki 定义的是植物界生物总称而不是花卉
579,mob_cap,head_accessories,hats_caps,确认,核心对象是覆盖头发并带褶边与固定带的圆形布帽
580,clenched_teeth,face,oral_detail,确认,核心含义是上下牙齿紧紧咬合
581,?,symbols,general_symbol,确认,核心对象是画面中表示疑惑的问号符号
582,scar_on_face,body_detail,scar_wound,确认,核心对象是位于脸部的疤痕
583,sleeping,action,daily_action,确认,核心含义是处于感官与运动活动暂停的睡眠行为
584,hair_tubes,head_accessories,hairtie_ring,确认,核心对象是将部分发丝从主体头发分开的圆柱形发饰
585,grey_shirt,clothes_main,shirt_top,确认,核心对象是未限定款式的灰色衬衫
586,backpack,accessories,bags_belts,确认,核心对象是用肩带固定并背在背部的包
587,hakurei_reimu,character,letter_h,确认,Wiki 明确描述博丽灵梦这一角色
588,thigh_gap,body,legs_knees,确认,核心对象是大腿根部下方之间的缝隙
589,black_necktie,accessories,neckwear,确认,核心对象是黑色领带
590,couple,relationships,romance_orientation,确认,核心关系是两个彼此吸引并通常亲密的人
591,shoulder_armor,protective_clothes,shoulder_armor,确认,核心对象是覆盖肩膀的小型护甲片
592,bottle,household_objects,container,修正,Wiki 是储存液体的窄颈容器并不限定餐饮用途
593,straddling,pose,object_pose,修正,Wiki 描述双腿分置于物体两侧的跨坐关系姿势
594,juliet_sleeves,clothing_detail,sleeve_detail,确认,核心对象是上部蓬松而下部紧身的长袖型
595,feathered_wings,animal_traits,wing_feather,确认,核心对象是表面覆盖羽毛的翅膀
596,looking_up,pose,head_pose,修正,Wiki 明确要求头部后仰与颈部弯曲而不只是眼睛向上看
597,bug,creatures,insect,确认,核心对象是昆虫蜘蛛节肢动物或相似生物
598,blazer,outerwear_suits,jacket_coat,确认,核心对象是剪裁较休闲且常有翻领的西装式夹克
599,straight_hair,hair,hair_style,确认,核心含义是头发笔直且没有卷曲波浪
600,tassel,accessories,badges_ornaments,确认,核心对象是绳索末端由一簇垂线组成的装饰物
601,crossed_bangs,hair,bangs,确认,核心含义是前额刘海彼此交叉重叠
602,holding_gun,action,holding,确认,核心含义是角色手持枪支且不含水枪
603,crown,head_accessories,headpiece,确认,核心对象是传统由皇室佩戴的礼仪性头饰
604,holding_phone,action,holding,确认,核心含义是用手拿着手机
605,suspenders,clothing_detail,strap_detail,确认,核心对象是从肩部延伸并用于支撑裤子的弹性带
606,yellow_background,background,background_plain,确认,核心对象是纯黄或主要呈黄色的背景
607,black_belt,accessories,bags_belts,确认,核心对象是黑色腰带
608,skin_fang,face,oral_detail,确认,Wiki 明确是作为嘴部轮廓绘制的肤色尖牙
609,animal_print,clothing_appearance,clothing_pattern,确认,核心含义是衣物或物品上的动物图案或仿皮毛纹样
610,t-shirt,clothes_main,shirt_top,确认,核心对象是传统为短袖的无领休闲上衣
611,skirt_lift,action,clothing_action,确认,核心含义是掀起裙子露出胯部的动作
612,sneakers,legwear_footwear,sports_shoes,确认,核心对象是为体育活动设计的鞋
613,facing_viewer,pose,body_pose,修正,Wiki 描述角色身体朝向观众且不要求眼神接触
614,puffy_long_sleeves,clothing_detail,sleeve_detail,确认,核心对象是沿整个长度蓬松的长袖型
615,stuffed_animal,recreation,toys,确认,核心对象是制成动物或生物外形的填充玩具
616,bara,style,genre,修正,Wiki 定义的是突出男性阳刚特征与魅力的日本漫画艺术类型
617,fellatio,adult,adult_oral,确认,Wiki 明确描述用嘴刺激伴侣阴茎的口交行为
618,single_hair_bun,hair,hair_style,确认,核心含义是头发盘成单个圆形发髻
619,sex_from_behind,adult,adult_sex,确认,核心含义是从后方进行性交的姿势
620,grabbing_another's_breast,adult,adult_suggestive,确认,核心含义是抓握他人乳房的性接触行为
621,;d,expression,positive,确认,核心含义是咧嘴微笑同时眨眼的正向颜文字表情
622,eyewear_on_head,head_accessories,eyewear,确认,核心含义是眼镜戴在头顶而非眼前
623,curtains,household_objects,storage_furniture,确认,核心对象是挂在窗前用于隐私和遮光的家居布片
624,outstretched_arm,pose,arm_pose,确认,核心含义是一只手臂从身体向外伸展
625,slit_pupils,face,eye_shape,确认,核心含义是瞳孔呈垂直或水平拉伸的非圆形
626,outstretched_arms,pose,arm_pose,确认,核心含义是双臂从身体向外伸展
627,black_coat,outerwear_suits,jacket_coat,确认,核心对象是黑色大衣
628,topless_female,adult_body,adult_nudity,确认,核心含义是女性角色上身完全裸露
629,bandaid,body_detail,bandage_patch,确认,核心对象是覆盖小伤口或擦伤的粘性绷带
630,>_<,expression,fear_surprise,修正,Wiki 描述双眼紧闭的紧绷颜文字表情而不是中性表情
631,pointing,pose,hand_gesture,确认,核心含义是用食指指向目标以引导注意
632,veil,head_accessories,headwrap_veil,确认,核心对象是遮盖头部或面部部分区域的薄织物
633,red_background,background,background_plain,确认,核心对象是纯红或红色渐变背景
634,pink_dress,clothes_main,dress,确认,核心对象是粉色连衣裙
635,robot,mech_scifi,robot_android,确认,核心对象是能够自主运行的机械或电子机器
636,brooch,jewelry_accessories,gem_brooch,确认,核心对象是带珠宝装饰并用于固定衣物的胸针
637,kiss,action,interaction,确认,核心含义是用嘴唇接触他人以表达爱意
638,cover,meta_info,meta,确认,核心对象是书籍专辑或游戏等作品的封面艺术
639,on_stomach,pose,stationary_pose,确认,核心含义是腹部朝下平躺的俯卧姿势
640,head_wings,animal_traits,wing_feather,确认,核心对象是附着在头部的翅膀特征
641,fishnets,legwear_footwear,stockings,确认,核心对象是带菱形网眼的丝袜或连裤袜
642,girl_on_top,pose,body_pose,确认,Wiki 只描述女性位于另一角色上方的身体位置
643,outside_border,composition,border,确认,核心含义是角色或物体跨出图像边框
644,pink_flower,nature,flower_general,确认,Wiki 只限定粉色花朵而未限定具体品种
645,messy_hair,hair,hair_action,确认,核心含义是因疏于打理或刚睡醒而凌乱的头发状态
646,nijisanji,copyright,letter_n,确认,Wiki 明确描述彩虹社虚拟主播团体
647,mahou_shoujo_madoka_magica,copyright,letter_m,确认,Wiki 明确描述魔法少女小圆作品
648,red_jacket,outerwear_suits,jacket_coat,确认,核心对象是红色夹克外套
649,white_shoes,legwear_footwear,casual_shoes,确认,Wiki 是未限定鞋型的白色鞋履
650,sisters,relationships,family_relation,确认,核心关系是两个或更多女性手足
651,knife,weapons,blade,确认,核心对象是由短刀片与手柄组成的切刺工具
652,blue_sailor_collar,clothing_detail,collar_detail,修正,Wiki 的核心对象是蓝色水手领这一衣领结构
653,lifting_own_clothes,action,clothing_action,确认,核心含义是人物掀起自己衣服的动作
654,white_pantyhose,legwear_footwear,stockings,确认,核心对象是白色连裤袜
655,kirisame_marisa,character,letter_k,确认,Wiki 明确描述雾雨魔理沙这一角色
656,aged_down,themes,identity_change,修正,Wiki 描述既有角色被画得比设定年龄更年轻的变化
657,tiara,head_accessories,headpiece,确认,核心对象是窄带半圆且常镶嵌装饰的礼仪头饰
658,strapless_leotard,underwear_swim,bodysuit_leotard,确认,核心对象是无肩带的紧身连体衣
659,bdsm,adult_kink,kink_general,修正,Wiki 是束缚支配与服从等多种成人偏好实践的总称
660,breasts_out,adult_body,adult_nudity,确认,核心含义是乳房从衣物中被拉出或裸露
661,hand_on_own_chest,pose,arm_pose,确认,核心含义是角色将一只手放在自己胸前
662,extra_ears,animal_traits,animal_ears,确认,核心含义是角色同时拥有人耳与动物耳
663,hooded_jacket,outerwear_suits,jacket_coat,确认,核心对象是带抽绳或拉链兜帽的夹克
664,rabbit_tail,animal_traits,tails,确认,核心对象是角色具有的兔子形尾巴
665,brown_shoes,legwear_footwear,casual_shoes,确认,Wiki 是未限定鞋型的棕色鞋履
666,demon_tail,animal_traits,tails,确认,核心对象是末端常呈黑桃形的长鞭状恶魔尾巴
667,dog_ears,animal_traits,animal_ears,确认,核心对象是角色长有或佩戴的狗形兽耳
668,knee_boots,legwear_footwear,short_boots,确认,核心对象是长度约到膝盖的靴子
669,black_bra,underwear_swim,bra_lingerie,确认,核心对象是黑色或深灰色胸罩
670,crossover,themes,character_connection,修正,Wiki 描述来自不同版权的角色在同一场景建立跨作品关联
671,white_ribbon,accessories,bows_ribbons,确认,Wiki 只限定白色丝带而未限定佩戴部位
672,short_twintails,hair,hair_style,确认,核心含义是长度到肩或更短的双马尾
673,wing_collar,clothing_detail,collar_detail,确认,核心对象是领角向下折成翅膀状的衣领
674,clenched_hand,pose,hand_gesture,修正,Wiki 描述五指收拢并由拇指覆盖或夹住的握拳手势
675,hat_ribbon,head_accessories,hats_caps,确认,核心对象是系在帽子上的丝带装饰
676,goggles,head_accessories,eyewear,确认,核心对象是保护眼睛免受灰尘水或强光伤害的护目镜
677,red_hat,head_accessories,hats_caps,确认,核心对象是红色帽子
678,green_skirt,clothes_main,skirt,确认,核心对象是绿色半身裙或迷你裙
679,katana,weapons,blade,确认,核心对象是弯曲纤细单刃且有长柄的日本刀
680,red_nails,body_detail,nail_care,修正,Wiki 明确是涂有红色指甲油的手指甲或脚趾甲
681,star_(sky),outdoor_scene,sky_space,确认,核心对象是夜空中可见的发光天体
682,building,urban_architecture,public_building,确认,核心对象是供支撑遮蔽或居住的通用建筑结构
683,dot_nose,face,nose,确认,核心对象是以单个点表示的鼻子
684,formal_clothes,outerwear_suits,formal_suit,确认,核心含义是穿着西装礼服或正统套装等正式服装
685,bent_over,pose,body_pose,确认,核心含义是腿部竖直而躯干水平弯曲的身体姿势
686,white_sailor_collar,clothing_detail,collar_detail,修正,Wiki 的核心对象是白色水手领这一衣领结构
687,polka_dot,clothing_appearance,clothing_pattern,确认,核心对象是等距同大小圆点构成的服装图案
688,underwear_only,underwear_swim,underwear_general,修正,Wiki 指只穿胸罩内裤或其他内衣并不限定内裤
689,loafers,legwear_footwear,casual_shoes,确认,核心对象是平跟宽跟且便于穿脱的便鞋
690,pantyshot,adult_body,adult_clothes,确认,核心含义是非故意看见裙装下的内裤
691,meme,meta_info,meme,确认,核心对象是通过网络或流行文化传播的梗概念
692,girls'_frontline,copyright,letter_g,确认,Wiki 明确描述少女前线游戏作品
693,single_thighhigh,legwear_footwear,stockings,确认,核心对象是只穿在一条腿上的过膝袜
694,staff,weapons,polearm,确认,核心对象是用于施法或战斗的长棍状武器
695,side_braid,hair,hair_style,确认,核心含义是辫子垂在脸部一侧的发型
696,monster_girl,people,fantasy_person,确认,核心对象是半人半怪物的女性幻想种族
697,light_particles,light_effect,particles,确认,核心对象是增强画面的小型发光粒子群
698,group_sex,adult,adult_sex,确认,核心含义是超过两人同时参与的性行为
699,armband,accessories,badges_ornaments,修正,Wiki 是佩戴在手臂上用于标记团体等级或角色的布质标识
700,zenless_zone_zero,copyright,letter_z,确认,Wiki 明确描述绝区零游戏作品
701,outline,style,technique,确认,核心含义是用轮廓线将人物或物品从背景分离的绘画技法
702,instrument,culture_objects,music,确认,核心对象是用于演奏音乐的器具总称
703,official_alternate_hairstyle,themes,persona_variant,确认,核心含义是版权方设计的角色非标准发型变体
704,tan,body_detail,skin,确认,核心含义是皮肤因日晒而变暗
705,white_sleeves,clothing_appearance,clothing_color,确认,核心对象是白色袖子这一服装颜色属性
706,knees_up,pose,leg_pose,确认,核心含义是坐躺或漂浮时膝盖抬起
707,logo,text_meta,brand,确认,核心对象是画面中的真实或虚构公司标志
708,shaded_face,expression,dramatic_effect,修正,Wiki 明确是无明显光源时以面部阴影表达强烈情绪的手法
709,hat_bow,head_accessories,hats_caps,确认,核心对象是固定在帽子上的蝴蝶结装饰
710,all_fours,pose,body_pose,确认,核心含义是双手和膝盖着地模仿四足站立
711,low_ponytail,hair,hair_style,确认,核心含义是扎在后脑靠近颈背低处的马尾
712,no_pants,clothing_appearance,unworn_missing,确认,核心含义是穿上衣和内裤但没有裤子或裙子
713,school_swimsuit,underwear_swim,school_swim,确认,核心对象是学校标准款连体泳衣
714,girls_und_panzer,copyright,letter_g,确认,Wiki 明确描述少女与战车动画系列
715,grey_skirt,clothes_main,skirt,确认,核心对象是灰色半身裙或迷你裙
716,china_dress,traditional_clothes,traditional_china,确认,核心对象是紧身且两侧高开衩的中式连衣裙
717,claws,animal_traits,claw_scale,确认,核心对象是动物或类动物角色尖长锋利的爪
718,highleg_leotard,underwear_swim,bodysuit_leotard,确认,核心对象是高位腿洞的紧身连体衣
719,drooling,body_detail,body_function,确认,核心含义是唾液从口中流出
720,box,household_objects,container,确认,核心对象是用于容纳物品的立方或矩形容器
721,hair_over_shoulder,hair,hair_action,确认,核心含义是头发搭在肩膀上而非垂在背后
722,child,people,age,确认,Wiki 明确是婴儿与青春期之间且不含性化语境的年龄阶段
723,trap,people,role_focus,确认,Wiki 指呈现女性外观的男性角色类型
724,blue_hat,head_accessories,hats_caps,确认,核心对象是蓝色帽子
725,bat_wings,animal_traits,wing_feather,确认,核心对象是蝙蝠形翅膀
726,anger_vein,expression,anger,确认,核心对象是以弯曲线表示愤怒烦恼的符号
727,towel,household_objects,care_cleaning,确认,核心对象是用于擦拭的吸水织物
728,5girls,people,count_gender,确认,核心含义是画面中有五位女性角色
729,cropped_jacket,outerwear_suits,jacket_coat,确认,核心对象是长度仅到胸部下方的短款夹克
730,alternate_breast_size_(larger),themes,persona_variant,修正,Wiki 描述角色胸部被画得比原作设定更大的角色变体
731,butterfly,creatures,insect,确认,核心对象是日间活动且有大型彩色翅膀的昆虫
732,ribbon_trim,clothing_detail,trim_detail,确认,核心对象是穿在衣物边缘起装饰或支撑作用的丝带
733,maid_apron,clothes_main,apron_cover,确认,核心对象是女仆穿戴且常有褶边的围裙
734,hood_up,clothing_appearance,wearing_state,修正,Wiki 描述兜帽戴在头上而非放下的穿戴状态
735,strapless_dress,clothes_main,dress,确认,核心对象是依靠紧身结构固定的无肩带连衣裙
736,polearm,weapons,polearm,确认,核心对象是战斗部分位于长杆末端的近战武器
737,couch,household_objects,seating_table,确认,核心对象是供多人就坐的大型软垫家具
738,...,symbols,general_symbol,修正,Wiki 定义的是由三个或更多点组成的省略号符号
739,scenery,composition,subject_focus,修正,Wiki 描述画面优先突出场景景观而不是某种具体户外地点
740,steam,light_effect,fire_smoke,确认,核心对象是水蒸气遇冷凝结形成的可见雾气
741,open_coat,clothing_appearance,open_wear,确认,核心含义是外套未扣合并敞开
742,lipstick,face,makeup,确认,核心对象是为嘴唇上色的化妆品效果
743,cloak,outerwear_suits,cape_cloak,确认,核心对象是覆盖上半身或全身且前部开口的无袖外衣
744,striped_thighhighs,legwear_footwear,stockings,确认,核心对象是带条纹的过膝或超膝袜
745,mole_under_mouth,body_detail,mole_freckle,确认,核心对象是位于嘴部正下方的痣
746,indie_virtual_youtuber,people,occupation,修正,Wiki 描述独立运营的虚拟主播职业而不是名称以 I 开头的作品
747,purple_dress,clothes_main,dress,确认,核心对象是紫色连衣裙
748,candy,food_drink,dessert_snack,确认,核心对象是以浓缩糖液制成的甜食
749,musical_note,symbols,music_symbol,确认,核心对象是表示歌唱音乐或轻松状态的音符
750,double-parted_bangs,hair,bangs,确认,核心含义是刘海明显分向两个方向
751,bondage,adult_kink,adult_bondage,确认,Wiki 描述通常用于性目的的有意身体束缚
752,areola_slip,adult_body,adult_nudity,确认,核心含义是乳晕从衣物滑出或部分裸露
753,brown_boots,legwear_footwear,short_boots,确认,核心对象是棕色靴子
754,pelvic_curtain,clothing_detail,other_structure,确认,核心对象是垂挂在裆部前后并露出大腿的矩形衣片
755,sleeves_past_fingers,clothing_detail,sleeve_detail,确认,核心含义是袖长超过手指并完全遮住手部
756,red_neckerchief,accessories,neckwear,确认,核心对象是红色领巾
757,surprised,expression,fear_surprise,确认,核心含义是瞪大眼睛或张嘴表现惊讶
758,blue_necktie,accessories,neckwear,确认,核心对象是蓝色领带
759,cherry_blossoms,nature,flower_species,修正,Wiki 明确是樱花树的小花这一具体花卉种类
760,toenails,body,feet_toes,确认,核心对象是脚部清晰可见的脚趾甲
761,pale_skin,body_detail,skin,确认,核心含义是显著浅且缺乏血色的肤色
762,anal,adult,adult_sex,确认,Wiki 描述肛门受到性器官手指玩具或触手插入的行为
763,o-ring,clothing_detail,fastener,确认,核心对象是连接衣物或配饰部件的 O 形环
764,sex_toy,adult_kink,adult_toys,确认,核心对象是为自慰或伴侣性互动设计的设备
765,revealing_clothes,clothing_appearance,fashion_style,修正,Wiki 强调服装被故意设计成极少遮盖身体的穿衣风格
766,eyeshadow,face,makeup,确认,核心对象是涂在眼睑上用于美化眼睛的彩色化妆品
767,gundam,copyright,letter_g,确认,Wiki 明确描述高达机甲媒体系列
768,index_finger_raised,pose,hand_gesture,确认,核心含义是食指竖起而不指向目标的手势
769,curvy,body,build,确认,核心含义是角色具有突出胸部宽臀等丰满曲线体型
770,blue_nails,body_detail,nail_care,修正,Wiki 明确是涂有蓝色指甲油的手指甲或脚趾甲
771,letterboxed,composition,border,确认,核心对象是画面顶部和底部的黑色宽银幕条
772,undressing,action,clothing_action,确认,核心含义是正在脱掉衣服的过程
773,crescent,symbols,general_symbol,确认,Wiki 明确是新月形符号且排除真实月亮
774,round_eyewear,head_accessories,eyewear,确认,核心对象是镜片明显呈圆形或椭圆形的眼镜
775,arms_behind_head,pose,arm_pose,确认,核心含义是双臂放在自己头后
776,wristband,accessories,handwear,确认,核心对象是环绕手腕佩戴的各种带子
777,buckle,clothing_detail,fastener,确认,核心对象是固定两个松散末端的扣合装置
778,microphone,digital_media,audio_device,确认,核心对象是手持支架或头戴式录音扩音设备
779,lace_trim,clothing_detail,trim_detail,修正,Wiki 明确是位于服装边缘的蕾丝花边而非主体面料
780,spoken_heart,text_meta,comic,确认,核心对象是对话中作为元素或标点出现的爱心符号
781,colored_sclera,face,eye_shape,确认,核心含义是眼白部分呈非白色的眼部形态
782,baseball_cap,head_accessories,hats_caps,确认,核心对象是带长硬帽檐的软帽
783,bridal_gauntlets,accessories,handwear,确认,核心对象是以指环固定且通常及肘的婚礼长手套
784,ejaculation,adult,adult_response,修正,Wiki 描述通过阴茎射出精液这一生理性反应行为
785,hair_bobbles,head_accessories,hairtie_ring,确认,核心对象是带球形装饰并用于束发的弹性发带
786,lingerie,underwear_swim,bra_lingerie,确认,核心对象是带蕾丝或装饰镶边的女性时尚内衣
787,waist_apron,clothes_main,apron_cover,确认,核心对象是只覆盖腰部以下的半身围裙
788,hand_on_own_face,pose,arm_pose,确认,核心含义是角色将手放在自己脸上
789,rope,household_objects,rope_lock,确认,核心对象是由纤维线绞合而成的结实长条绳索
790,wind,time_weather,weather,确认,核心场景要素是风吹过角色
791,pink_nails,body_detail,nail_care,修正,Wiki 明确是涂有粉色指甲油的手指甲或脚趾甲
792,danganronpa_(series),copyright,letter_d,确认,Wiki 明确描述弹丸论破游戏系列
793,pom_pom_(clothes),accessories,badges_ornaments,确认,核心对象是服装各部位附着的小型毛绒球装饰
794,foreshortening,style,technique,修正,Wiki 描述通过缩短物体视觉长度制造朝向观众透视感的绘画技法
795,cropped_legs,composition,framing,确认,核心含义是腿部在画面内被截断且与边缘有间隙
796,holding_book,action,holding,确认,核心含义是角色手持一本或多本书
797,cropped_torso,composition,framing,确认,核心含义是只绘制腰部以上并由画面截断下半身
798,gold_trim,clothing_detail,trim_detail,修正,Wiki 明确是衣物或盔甲边缘的金色镶边装饰
799,black_vest,clothes_main,vest_top,确认,核心对象是黑色马甲
800,twin_drills,hair,hair_style,确认,核心含义是两条马尾均呈螺旋钻头状的发型
801,sheath,weapons,weapon_parts,修正,Wiki 定义的是用于收纳剑或大型刀刃的武器配件
802,multiple_tails,animal_traits,tails,确认,核心含义是单个角色拥有超过一条尾巴
803,gauntlets,protective_clothes,arm_armor,确认,核心对象是覆盖手部和前臂的硬质手套式护甲
804,adapted_costume,themes,persona_variant,修正,Wiki 描述基于角色默认或官方服装设计的角色服装变体
805,yellow_bow,accessories,bows_ribbons,确认,Wiki 只限定黄色蝴蝶结而未限定佩戴部位
806,^^^,expression,fear_surprise,修正,Wiki 是位于头旁表示惊讶或理解的尖冠状表情符号
807,tearing_up,expression,sad_cry,确认,核心含义是眼中含泪且即将流出的状态
808,male_pubic_hair,adult_body,pubic_hair,确认,核心对象是男性生殖器区域的毛发
809,hakama,traditional_clothes,traditional_japan,确认,核心对象是形似百褶裙或宽松百褶裤的传统日本服装
810,breast_press,adult,adult_suggestive,确认,核心含义是将乳房压在物体上的性暗示动作
811,precure,copyright,letter_p,确认,Wiki 明确描述光之美少女动画系列
812,dragon_horns,animal_traits,horns,确认,核心对象是龙类生物头部的角
813,nature,outdoor_scene,other_scene,确认,Wiki 描述可见野生植物的自然风景场景
814,beard,face,facial_hair,确认,核心对象是生长在下巴脸颊与颈部的胡须
815,single_earring,jewelry_accessories,earrings,确认,核心对象是只佩戴在一只耳朵上的单个耳环
816,white_coat,outerwear_suits,jacket_coat,确认,核心对象是白色外套
817,white_pants,clothes_main,bottoms,确认,核心对象是未限定款式的白色裤装
818,web_address,text_meta,text,确认,核心画面元素是通常以水印形式出现的网址文字
819,black_wings,animal_traits,wing_feather,确认,核心对象是黑色翅膀
820,restrained,sensitive,restraint,确认,核心含义是人物被他人或物体限制行动
821,faceless,people,role_focus,确认,Wiki 描述因隐藏遮挡或画法而没有面部特征的角色呈现类型
822,string_bikini,underwear_swim,bikini,确认,核心对象是由细带连接上下部件的比基尼
823,pink_shirt,clothes_main,shirt_top,确认,核心对象是未限定款式的粉色衬衫
824,interlocked_fingers,pose,hand_gesture,确认,核心含义是手指彼此交织的手势
825,bike_shorts,clothes_main,bottoms,确认,核心对象是长度约至大腿中部的紧身运动短裤
826,breath,light_effect,other_effect,确认,核心对象是寒冷天气中呼气凝成的可见雾气效果
827,casual,clothing_appearance,fashion_style,确认,核心含义是角色穿着现代日常便服的风格
828,eye_contact,pose,gaze,确认,核心含义是两个角色彼此直接对视
829,blue_shorts,clothes_main,bottoms,确认,核心对象是未限定款式的蓝色短裤
830,neck_bell,accessories,neckwear,确认,核心对象是装有一个或多个铃铛的颈圈
831,corset,underwear_swim,bra_lingerie,确认,核心对象是以系带收紧腰部塑造曲线的贴身衣物
832,blue_flower,nature,flower_general,确认,Wiki 只限定蓝色花朵而未限定具体品种
833,plate,food_drink,tableware,确认,核心对象是用于盛放食物的扁平餐盘
834,brown_gloves,accessories,handwear,确认,核心对象是棕色手套
835,short_hair_with_long_locks,hair,hair_length,确认,核心含义是短发中夹有一两束明显长发
836,red_gloves,accessories,handwear,确认,核心对象是红色手套
837,mahou_shoujo_madoka_magica_(anime),copyright,letter_m,确认,Wiki 明确描述魔法少女小圆动画作品
838,demon_wings,animal_traits,wing_feather,确认,核心对象是恶魔角色或装扮者具有的翅膀
839,red_shoes,legwear_footwear,casual_shoes,确认,Wiki 是未限定鞋型的红色鞋履
840,camisole,clothes_main,vest_top,确认,核心对象是配有细肩带的短款无袖上衣
841,between_breasts,action,body_object,修正,Wiki 描述非阴茎物体夹在或压在乳房之间且不涉及手持
842,carrying,action,holding,确认,核心含义是用手臂支撑并携带物体或人物
843,remilia_scarlet,character,letter_r,确认,Wiki 明确描述蕾米莉亚斯卡雷特这一角色
844,one_eye_covered,face,eye_shape,确认,核心含义是一只眼睛被完全遮住的眼部呈现
845,spikes,weapons,weapon_parts,修正,Wiki 是附着在表面或物体上且主要用于防御的尖锐部件
846,flandre_scarlet,character,letter_f,确认,Wiki 明确描述芙兰朵露斯卡雷特这一角色
847,green_background,background,background_plain,确认,核心对象是纯绿或绿色渐变背景
848,clothing_aside,adult_body,adult_clothes,确认,核心含义是将覆盖生殖器的衣物拨开以暴露身体
849,purple_background,background,background_plain,确认,核心对象是纯紫或紫色渐变背景
850,semi-rimless_eyewear,head_accessories,eyewear,确认,核心对象是镜片只有部分边缘带框的眼镜
851,cover_page,meta_info,meta,确认,核心对象是印刷媒体的封面艺术
852,patreon_username,meta_info,meta,确认,核心内容是图像中显示的 Patreon 页面名称或网址元数据
853,frilled_apron,clothes_main,apron_cover,确认,核心对象是带褶边的围裙
854,hair_rings,hair,hair_style,修正,Wiki 定义的是飞仙髻等环状发型而不是环形发饰
855,two-tone_background,background,background_plain,修正,Wiki 描述仅由两种颜色及可能渐变组成的无图案背景
856,pink_panties,underwear_swim,panties_underwear,确认,核心对象是以粉色为主的内裤
857,armlet,jewelry_accessories,bracelet_anklet,确认,核心对象是佩戴在上臂且常镶宝石的金属环饰
858,furrowed_brow,face,eyebrows,修正,Wiki 描述因专注或焦虑形成的眉部与额头形态并不等同愤怒
859,wet_clothes,clothing_appearance,damaged_dirty,确认,核心含义是衣服湿透后贴身并可能半透明的服装状态
860,robe,clothes_main,robe,确认,核心对象是宽松有袖且长及膝盖或脚踝的长袍
